Temps (sec)	As 188.980

0.00	305.51
3.23	332.48
6.47	315.74
9.56	296.70
12.72	288.42
15.95	272.84
19.19	262.24
22.28	285.40
25.44	285.44
28.67	306.65
31.91	313.29
35.00	328.73
38.16	324.33
41.39	340.09
44.62	328.61
47.72	337.16
50.87	315.32
54.11	322.00
57.34	302.16
60.44	295.55
63.59	292.53
66.83	287.09
70.06	247.03
73.16	257.54
76.31	267.85
79.55	264.51
82.78	273.64
85.87	283.21
89.03	287.85
92.26	294.45
95.50	303.93
98.59	312.91
101.75	518.97
104.98	1356.48
108.22	2802.14
111.31	3311.09
114.47	2785.86
117.70	2333.99
120.94	1078.06
124.03	721.15
127.19	545.20
130.42	424.99
133.65	379.94
136.75	347.42
139.90	307.26
143.14	327.75
146.37	308.89
149.47	318.95
152.62	328.89
155.86	292.57
159.09	303.02
162.19	284.36
165.34	296.18
168.58	310.40
171.81	311.83
174.83	300.72
178.06	317.03
181.30	311.91
184.53	329.78
