Temps (sec)	As 188.980
Hors Limite
0.00	310.93
3.23	304.29
6.47	309.39
9.56	313.95
12.72	315.27
15.95	273.77
19.19	254.77
22.28	270.15
25.44	280.28
28.67	288.78
31.91	294.62
35.00	306.92
38.16	299.56
41.39	304.77
44.62	316.99
47.72	318.56
50.87	302.93
54.11	324.30
57.34	338.52
60.44	292.78
63.59	284.92
66.83	266.04
70.06	263.65
73.16	271.28
76.31	269.86
79.55	278.49
82.78	277.90
85.87	289.03
89.03	278.32
92.26	308.16
95.50	297.43
98.59	316.60
101.75	321.04
104.98	493.02
108.08	1906.25
111.31	3124.78
114.47	3311.53
117.70	2583.19
120.94	1711.92
124.03	888.47
127.19	624.94
130.42	481.22
133.65	371.27
136.75	344.27
139.90	308.04
143.14	320.36
146.23	303.91
149.47	309.82
152.62	306.22
155.86	305.80
159.09	292.01
162.19	309.25
165.34	296.61
168.58	312.73
171.81	315.86
174.90	297.34
178.06	313.39
181.30	294.12
184.31	315.02
