Temps (sec)	As 188.980

0.00	310.35
3.23	304.90
6.47	322.79
9.56	296.21
12.72	288.20
15.95	265.95
19.19	289.41
22.28	295.10
25.44	278.77
28.67	513.58
31.91	1802.47
35.00	4318.54
38.16	6679.79
41.39	7369.48
44.62	6417.99
47.64	4616.85
50.87	2902.57
54.11	1736.86
57.34	1047.91
60.44	710.01
63.59	431.13
66.83	373.78
70.06	340.08
73.15	320.48
76.31	304.20
79.55	306.03
82.78	316.66
85.87	326.24
89.03	311.35
92.26	319.19
95.36	321.43
98.59	313.83
101.75	347.75
104.98	423.24
108.22	545.89
111.31	560.42
114.47	553.78
117.70	475.68
120.94	427.16
123.96	383.74
127.19	328.58
130.42	323.46
133.65	354.96
136.67	320.76
139.90	309.48
143.14	308.13
146.37	321.07
149.39	320.87
152.62	334.66
155.86	321.76
159.09	313.57
162.11	291.74
165.34	298.10
168.58	315.33
171.81	309.75
174.90	318.28
178.06	300.32
181.30	310.85
184.53	322.28
