Temps (sec)	As 188.980

0.00	306.32
3.23	292.88
6.47	315.54
9.49	291.02
12.72	275.86
15.95	280.09
19.19	261.02
22.28	255.13
25.51	246.18
28.67	265.23
31.91	332.69
35.00	571.96
38.16	887.62
41.39	1035.05
44.62	952.98
47.72	722.71
50.95	543.15
54.11	424.59
57.34	374.32
60.44	350.17
63.59	336.12
66.83	325.87
70.06	302.68
73.16	306.84
76.39	331.41
79.55	430.93
82.78	523.76
85.87	750.92
89.11	805.87
92.26	813.05
95.50	761.48
98.59	626.34
101.83	545.57
104.98	466.42
108.22	365.62
111.31	329.25
114.55	322.00
117.70	288.88
120.94	301.72
124.03	272.50
127.26	286.12
130.42	286.76
133.65	275.87
136.89	289.00
139.98	268.42
143.14	274.75
146.37	277.38
149.61	301.75
152.70	285.63
155.86	280.25
159.09	280.95
162.33	300.10
165.42	286.66
168.58	303.35
171.81	310.29
175.05	274.34
178.14	299.98
181.30	293.04
184.53	295.03
