Temps (sec)	As 188.980

0.00	292.24
3.23	289.41
6.47	296.65
9.56	305.37
12.72	276.80
15.95	243.18
19.19	246.45
22.28	240.91
25.44	250.50
28.67	398.39
31.91	1657.01
35.00	4905.24
38.16	7662.13
41.39	7643.24
44.62	4891.52
47.72	2992.61
50.87	1653.62
54.11	951.46
57.34	604.87
60.44	425.22
63.59	375.65
66.83	355.05
70.06	377.14
73.16	524.86
76.31	1208.12
79.55	2256.07
82.78	4478.71
85.87	4551.35
89.03	5854.55
92.26	5255.65
95.50	4130.44
98.59	3013.38
101.75	2350.57
104.98	1099.99
108.08	784.66
111.31	568.02
114.47	420.55
117.70	356.77
120.94	306.10
123.96	318.24
127.19	285.02
130.42	299.91
133.65	298.21
136.75	298.35
139.90	305.15
143.14	297.12
146.37	302.01
149.39	314.48
152.62	296.47
155.86	308.85
159.09	289.77
162.19	321.83
165.34	295.05
168.58	294.20
171.81	290.55
174.83	303.85
178.06	287.53
181.30	297.62
184.53	286.86
