Temps (sec)	As 188.980

0.00	305.93
3.23	313.18
6.47	301.74
9.56	319.88
12.72	301.85
15.95	289.57
19.19	270.48
22.28	274.60
25.44	267.87
28.67	313.82
31.91	293.58
35.00	299.13
38.16	321.54
41.39	318.27
44.62	331.45
47.64	323.14
50.87	343.32
54.11	332.31
57.34	306.86
60.44	300.21
63.67	294.44
66.83	279.92
70.06	269.17
73.08	266.81
76.39	272.95
79.55	281.19
82.78	273.06
85.80	311.80
89.11	296.85
92.26	292.69
95.50	311.12
98.59	296.19
101.83	346.28
104.98	1211.45
108.22	2631.25
111.24	3344.48
114.47	3035.10
117.70	2208.22
120.94	1508.07
124.17	819.10
127.19	464.31
130.42	412.00
133.65	375.24
136.89	336.32
139.91	312.13
143.14	344.52
146.37	314.79
149.61	320.32
152.70	323.55
155.86	332.62
159.09	317.01
162.33	313.89
165.35	304.05
168.58	324.07
171.81	310.53
175.05	317.54
178.14	298.91
181.30	303.37
184.53	312.96
